test_sentence,correct_sentence,predicted_sentence,probability,accuracy
"Na naslovnim stranama današnjih izdanja beograckih dnevnih listova najviše pažnje je posvećeno sedmogodišnjici ubistva premijer Srbije Zorana Đinđića, hapšenju Simeona Vilovskog i odluci suda u Velikoj Britaniji da nekadašnji član ratnog Predsedništva BiH Ejup Ganić bude pušten iz pritvora.","Na naslovnim stranama današnjih izdanja beogradskih dnevnih listova najviše pažnje je posvećeno sedmogodišnjici ubistva premijera Srbije Zorana Đinđića, hapšenju Simeona Vilovskog i odluci suda u Velikoj Britaniji da nekadašnji član ratnog Predsedništva BiH Ejup Ganić bude pušten iz pritvora.",Na naslovnim stranama današnjih izdanja beogradskih dnevnih listova najviše pažnje je posvećeno sedmogodišnjaci ubistva premijer Srbije Zorana Đinđića hapšenju Simeona Vilovskog i odluci suda u Velikoj Britaniji da nekadašnji član ratnog Predsedništva BiH Ejup Ganić bude pušten je iz pritvora,0.4303094744682312,97.61
Jedna neimenovana poljakinja rodila je blizance koji imaju različita očeve.,Jedna neimenovana Poljakinja rodila je blizance koji imaju različite očeve.,Jedna neimenovana poljakinja rodila je blizance koji imaju različita očeve,0.0,96.0
"Među uhapšenima je petoro službenika Uprave za igre na sreću Ministarstva finansija, koji se terete za korupciju u državnim organima.","Među uhapšenima je petoro službenika Uprave za igre na sreću Ministarstva finansija, koji se terete za korupciju u državnim organima.",Među uhapšenima je petoro službenika Uprave za igre u sreću Ministarstva finansija koji se terete u korupciju u državnim organima,0.4705248326063156,95.49
"Bivši vlasnik ""Meridijan banke"" Tomislav Đorđević i još šest osopa uhapšeni, zbog zloupotreba u privatizaiji.","Bivši vlasnik ""Meridijan banke"" Tomislav Đorđević i još šest osoba uhapšeni, zbog zloupotreba u privatizaciji.",Bivši vlasnik Meridijan banke Tomislav Đorđević i još šest sopa uhapšeni zbog zloupotreba u privatizaciji,0.0,94.55
Gradonačelnik Beograda Dragan Đilas najavio je danas da će se kandidovati za tu fnkciju na narednim lokalni izborima u Beogradu i da od novog rukovotstva beogradskog odbora dmokrata očekuje da ga u tome podrži.,Gradonačelnik Beograda Dragan Đilas najavio je danas da će se kandidovati za tu funkciju na narednim lokalnim izborima u Beogradu i da od novog rukovodstva beogradskog odbora demokrata očekuje da ga u tome podrži.,Gradonačelnik Beograda Dragan Đilas na je danas da li će se kandidovati za tu funkciju u narednim lokalni izborima u Beogradu i da od novog rukovodstva beogradskog odbora demokrata očekuje da ga u tome podrži,0.6587161421775818,94.37
"U susret Svetom arhijerejskom saboru SPC, najavljenom za 22. januar, grupa episkop oko vladike tuzlanskog Vasilija Kačavende nastoji ovih dana da obezbedi da vladika Kačavenda bude među tri kandidata od kojih će jedan žrebom biti izabrano za patrijarha, navode dobro upućeni u zbivanja u banjalučkoj eparhiji, prenosi Tanjug.","U susret Svetom arhijerejskom saboru SPC, najavljenom za 22. januar, grupa episkopa oko vladike tuzlanskog Vasilija Kačavende nastoji ovih dana da obezbedi da vladika Kačavenda bude među tri kandidata od kojih će jedan žrebom biti izabran za patrijarha, navode dobro upućeni u zbivanja u banjalučkoj eparhiji, prenosi Tanjug.",U susret sa Svetom arhijerejskom saboru SPC u najavljenom za 22 januar grupa episkop oko vladike tuzlanskog Vasilija Kačavende nastoji ovih dana da obezbedi da je vladika Kačavenda bude među tri kandidata od kojih će jedan u žrebom biti izabrano za patrijarha navode dobro je upućeni u zbivanja u banjalučkoj eparhiji prenosi Tanju,0.4895726561546326,93.66
"Predstavnici Udruženja porodica kidnapovana i nestalih na Kosovu i Metohiji zatražili su danas od nadležnih da procesuiraju sve pripadnike OVK koji su pre 12 godina učestvovli u proterivanju, kidnapovanje i ubijanju civila na području opštine Orahovac i okolna sela Retimlje, Opteruša, Zočište i Velika Hoča, a čija su imena poznata.","Predstavnici Udruženja porodica kidnapovanih i nestalih na Kosovu i Metohiji zatražili su danas od nadležnih da procesuiraju sve pripadnike OVK koji su pre 12 godina učestvovali u proterivanju, kidnapovanju i ubijanju civila na području opštine Orahovac i okolnih sela Retimlje, Opteruša, Zočište i Velika Hoča, a čija su imena poznata.",Predstavnici Udruženja porodica kidnapovana i nestalih oružja na Kosovu i Metohiji zatražili su danas od nadležnih da procesuiraju sve pripadnike OVK koji su pre 12 godina učestvovali u proterivanju kidnapovanje i ubijanju civila na području opštine Orahovac i okolna sela Velimlje peruša Zočište i Velika Voča a čija su imena poznata,0.4076661467552185,93.45
"Ujedinjeni regioni Srbije (URS) zalažu za promena Ustava koja bi omogućila da Šumadija i Pomoravlje postanu jedan regijon sa sedište u Kragujevcu, izjavio je danas u tom gradu predsednik G17 plus i lider URS Mlađan Dinkić.","Ujedinjeni regioni Srbije (URS) zalažu za promenu Ustava koja bi omogućila da Šumadija i Pomoravlje postanu jedan region sa sedištem u Kragujevcu, izjavio je danas u tom gradu predsednik G17 plus i lider URS Mlađan Dinkić.",Ujedinjeni regioni Srbije URS zalažu za promena Ustava koja bi omogućila da je Šumadija i Pomoravlje za postanu jedan region sa sedište u Kragujevcu izjavio da je danas u tom gradu predsednik G17 plus i lider URS Mlađan Dinkić,0.4943348467350006,93.36
"Evropski standardi potpuno prihvatljivi Srbiju, izjavijo je predsednik Srpske napredne stranke Tomislav Nikolić.","Evropski standardi potpuno prihvatljivi za Srbiju, izjavio je predsednik Srpske napredne stranke Tomislav Nikolić.",Evropski standardi potpuno prihvatljivi Srbiju izjavio da je predsednik Srpske napredne stranke Tomislav Nikolić,0.5469913482666016,92.98
"Albanija je danas pozdravila prve dogovare između Beograda i Prištine, postignute u subotu tokom peta runde pregovora u Briselu, isticai da će od toga najviše koristi imati građani.","Albanija je danas pozdravila prve dogovore između Beograda i Prištine, postignute u subotu tokom pete runde pregovora u Briselu, ističući da će od toga najviše koristi imati građani.",Albanija je danas pozdravila prve dogovore između Beograda i Prištine postignute u subotu tokom peta runde pregovora u Briselu i da li će od toga najviše koristi imati građani,0.7093065083026886,92.86
Posebno odeljelje Višeg suda u Beogradu osudilo je danas na ukupno 38 godina osmočlanu kriminalnu grupe Darka Ercega zbog šverca kokaina i heroina u zemlje zapadne Evrope.,Posebno odeljenje Višeg suda u Beogradu osudilo je danas na ukupno 38 godina zatvora osmočlanu kriminalnu grupu Darka Ercega zbog šverca kokaina i heroina u zemlje zapadne Evrope.,Posebno odeljenje Višeg suda u Beogradu osudilo da je danas na ukupno 38 godina osmočlanu kriminalnu grupe Darka Ercega zbog šverca kokaina i heroina u zemlje zapadne Evrope,0.42423272132873535,92.74
"Članovi i simpatizeri Lige socijaldemokrata Vojvodine (LSV) danas su kroz centar Novog Sada proneli 300 zastava Vojvodine, obeleživši tako šestu godišnjicu usvajanja skupštinske odluke o tom obeležja pokrajine.","Članovi i simpatizeri Lige socijaldemokrata Vojvodine (LSV) danas su kroz centar Novog Sada proneli 300 zastava Vojvodine, obeleživši tako šestu godišnjicu usvajanja skupštinske odluke o tom obeležju pokrajine.",Članovi i simpatizeri Lige socijaldemokrata Vojvodine LSV danas da su kroz centar Novog Sada proneli 300 dva zastava Vojvodine obeleživši u šestu godišnjicu usvajanja skupštinske odluke o tom obeležja pokrajine,0.5219736496607462,92.38
Nemački ambasador u Beogradu Volfram Mas demantovao je danas špekulacije da se Nemci protive daljem proširenju EU i istakao da Nemačka podržava evropske integracije zapadnog Balkana.,Nemački ambasador u Beogradu Volfram Mas demantovao je danas špekulacije da se Nemci protive daljem proširenju EU i istakao da Nemačka podržava evropske integracije zapadnog Balkana.,Nemački ambasador u Beogradu Volfram pa demantovao je danas špekulacije da će se Nemci protive daljem proširenju su i ka je da Nemačka podržava evropske integracije zapadnog Balkana,0.5188396811485291,92.31
Ministarstvo finansija Srbije će postupiti po preporukama Evropske komisije koje se odnose na primjenu različitih akciza na gorivo u Srbiji.,Ministarstvo finansija Srbije će postupiti po preporukama Evropske komisije koje se odnose na primjenu različitih akciza na gorivo u Srbiji.,Ministarstvo za finansija oba će postupiti po preporukama Evropske komisije koje se odnose u primjenu različitih akciza na gorivo u Srbiji,0.5492515663305918,92.14
"Deo fudbalskog stadijona u Enšedeu urušio se i zatrpala za sada nepoznatih broj ljudi, saopštila je danas holadska policija.","Deo fudbalskog stadiona u Enšedeu urušio se i zatrpao za sada nepoznati broj ljudi, saopštila je danas holandska policija.",Deo fudbalskog stadiona u Endeu urušio da se i zatrpala za sada nepoznatih broj ljudi saopštila je danas holandska policija,0.7074278593063354,91.87
"Čvršći savez SNS i DSS u ovom trenudku nije realan, zbog razlika po pitanju odnos prema EU, kaže funkcijoner SNS Aleksandar Vučić.","Čvršći savez SNS i DSS u ovom trenutku nije realan, zbog razlika po pitanju odnosa prema EU, kaže funkcioner SNS Aleksandar Vučić.",Čvršći savez je SNS i DSS u ovom trenutku nije realan zbog razlika je u pitanju odnos prema EU kaže funkcioner SNS Aleksandar Vučić,0.4332190752029419,91.6
"Trener milanskog Intera Žoze Murinjo je Laciju 19-godišnjeg Davida Santona u zamenu za srbskog defanzivca Aleksandra Kolarova, prenosi ""Gazeta delo sport"".","Trener milanskog Intera Žoze Murinjo ponudio je Laciju 19-godišnjeg Davida Santona u zamenu za srpskog defanzivca Aleksandra Kolarova, prenosi ""Gazeta delo sport"".",Trener milanskog Intera Žoze Murinjo da je u Laciju 19-godišnjeg Davida Santova u zamenu za srbskog defanzivca Aleksandra Kolarova prenosi Gazeta delo sport,0.49878495931625366,91.41
